epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6791,1.05263,2.50218,1.45366,0.95787,1,0.995,0.86647,0.49345,3.61646,1.12679,0.00012,0.00012,0.00012
2,36.2011,0.67974,1.53871,1.23863,0.93447,0.85714,0.96389,0.84462,0.59375,2.75453,1.21578,0.00025142,0.00025142,0.00025142
3,53.315,0.79813,1.6735,1.31712,0.8614,1,0.90625,0.73346,0.60541,3.25256,1.35104,0.0003736,0.0003736,0.0003736
4,70.4256,0.86225,1.38216,1.26433,0.74658,0.84346,0.75917,0.54412,0.7593,4.30978,1.40098,0.00048654,0.00048654,0.00048654
5,87.5908,0.93383,1.5722,1.36235,0.99117,1,0.995,0.79736,0.79171,2.08056,1.54933,0.00059024,0.00059024,0.00059024
6,104.684,0.95276,1.44317,1.4198,0.64535,0.85714,0.86667,0.69346,0.59676,3.01052,1.23861,0.0006847,0.0006847,0.0006847
7,121.523,0.88627,1.28051,1.2704,0.73765,0.80775,0.83667,0.66061,0.65087,2.14564,1.32979,0.00076992,0.00076992,0.00076992
8,138.397,0.8966,1.39701,1.30243,0.85573,0.84867,0.90409,0.65293,1.00172,1.56516,1.627,0.0008459,0.0008459,0.0008459
9,155.192,0.85853,1.12766,1.28881,0.52313,1,0.78389,0.54943,1.06616,2.06323,1.91235,0.00091264,0.00091264,0.00091264
10,172.045,0.84867,1.04982,1.26679,0.46139,1,0.727,0.55432,0.91091,2.37428,1.78234,0.00097014,0.00097014,0.00097014
11,189.493,0.94115,1.10278,1.25115,0.39536,0.57143,0.49141,0.15311,2.03383,6.61733,2.46278,0.0010184,0.0010184,0.0010184
12,206.337,0.93484,1.74376,1.37766,0.32332,0.71429,0.31367,0.09903,2.4483,7.98632,3.21484,0.00105742,0.00105742,0.00105742
13,223.3,1.0491,1.28379,1.43085,0.57317,1,0.80714,0.43742,1.24022,3.84115,1.81237,0.0010872,0.0010872,0.0010872
14,240.087,0.93203,1.33506,1.25909,0.57317,1,0.80714,0.43742,1.24022,3.84115,1.81237,0.00110774,0.00110774,0.00110774
15,256.889,0.99322,1.31764,1.3934,0.5418,0.84565,0.6071,0.42167,1.03881,3.66961,1.63472,0.001076,0.001076,0.001076
16,273.484,0.94932,1.19918,1.38335,0.53444,0.85714,0.80515,0.58431,0.77708,3.43539,1.6897,0.00101,0.00101,0.00101
