epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3637,1.21324,2.85559,1.62873,1,0.92051,0.995,0.89508,0.42079,4.02559,1.07278,0.00012,0.00012,0.00012
2,75.2896,0.78994,1.46063,1.31258,0.65566,0.96698,0.82833,0.67921,0.61544,5.2459,1.20059,0.000254852,0.000254852,0.000254852
3,112.143,0.89042,1.33498,1.32905,0.64586,1,0.82833,0.61292,0.79664,3.04534,1.47801,0.00038416,0.00038416,0.00038416
4,148.934,0.83843,1.2164,1.28948,0.6532,1,0.995,0.79559,0.77575,4.14485,1.33402,0.000507924,0.000507924,0.000507924
5,186.028,0.81227,1.09793,1.28215,0.1239,0.5,0.13321,0.04426,2.00142,7.84302,2.58507,0.000626144,0.000626144,0.000626144
6,223.214,0.92205,1.20941,1.31949,0.48698,1,0.4975,0.40775,0.7001,2.81937,1.36835,0.00073882,0.00073882,0.00073882
7,260.654,0.95413,1.1895,1.36291,0.48974,0.5,0.49543,0.44588,1.29929,6.92985,2.44175,0.000845952,0.000845952,0.000845952
8,297.451,0.94635,1.14379,1.35692,1,0.87335,0.995,0.4463,2.01098,3.91575,2.75767,0.00094754,0.00094754,0.00094754
9,334.504,0.93576,1.08681,1.35047,0.15535,0.5,0.08653,0.01827,3.09285,9.63786,4.57423,0.00104358,0.00104358,0.00104358
10,371.159,1.00847,1.18334,1.39666,0.32496,0.5,0.16544,0.11581,2.07621,5.05583,3.3625,0.00113408,0.00113408,0.00113408
11,408.21,1.00417,1.13894,1.40678,0.27995,0.5,0.265,0.0991,2.44268,4.69844,3.29869,0.00121904,0.00121904,0.00121904
